4K频道,#genre#
CCTV8 电视剧,http://192.168.100.1:50101/TVOD/5000000004000008888/FifastbLive/index.m3u8$6.8M1080_百视通
CCTV8 电视剧,http://192.168.100.1:50101/TVOD/1000000005000265008/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV8 电视剧,http://192.168.100.1:50101/TVOD/5000000010000018377/FifastbLive/index.m3u8$4M1080_百视通
CCTV8 电视剧,http://192.168.100.1:50101/TVOD/1000000001000003736/FifastbLive/index.m3u8$4M1080_易视腾
CCTV9 记录,http://192.168.100.1:50101/TVOD/6000000001000032162/FifastbLive/index.m3u8$8M1080_华数
CCTV9 记录,http://192.168.100.1:50101/TVOD/1000000001000014583/FifastbLive/index.m3u8$8M1080_易视腾
CCTV9 记录,http://192.168.100.1:50101/TVOD/1000000005000265009/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV9 记录,http://192.168.100.1:50101/TVOD/5000000010000018384/FifastbLive/index.m3u8$4M1080_百视通
CCTV9 记录,http://192.168.100.1:50101/TVOD/1000000001000028286/FifastbLive/index.m3u8$4M1080_易视腾
CCTV10 科教,http://192.168.100.1:50101/TVOD/5000000004000012827/FifastbLive/index.m3u8$8M1080_百视通
CCTV10 科教,http://192.168.100.1:50101/TVOD/6000000001000031506/FifastbLive/index.m3u8$8M1080_华数
CCTV10 科教,http://192.168.100.1:50101/TVOD/1000000001000023734/FifastbLive/index.m3u8$8M1080_易视腾
CCTV10 科教,http://192.168.100.1:50101/TVOD/1000000005000265010/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV10 科教,http://192.168.100.1:50101/TVOD/5000000010000016738/FifastbLive/index.m3u8$4M1080_百视通
CCTV10 科教,http://192.168.100.1:50101/TVOD/1000000001000026367/FifastbLive/index.m3u8$4M1080_易视腾
CCTV11 戏曲,http://192.168.100.1:50101/TVOD/5000000011000031106/FifastbLive/index.m3u8$6.8M1080_百视通
CCTV11 戏曲,http://192.168.100.1:50101/TVOD/1000000005000265011/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV11 戏曲,http://192.168.100.1:50101/TVOD/5000000006000040011/FifastbLive/index.m3u8$4M1080_百视通
CCTV11 戏曲,http://192.168.100.1:50101/TVOD/1000000002000019789/FifastbLive/index.m3u8$4M1080_易视腾
CCTV12 社会与法,http://192.168.100.1:50101/TVOD/6000000001000022586/FifastbLive/index.m3u8$8M1080_华数
CCTV12 社会与法,http://192.168.100.1:50101/TVOD/1000000001000032494/FifastbLive/index.m3u8$8M1080_易视腾
CCTV12 社会与法,http://192.168.100.1:50101/TVOD/5000000011000031107/FifastbLive/index.m3u8$6.8M1080_百视通
CCTV12 社会与法,http://192.168.100.1:50101/TVOD/1000000005000265012/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV12 社会与法,http://192.168.100.1:50101/TVOD/1000000001000001640/FifastbLive/index.m3u8$4M1080_易视腾
CCTV12 社会与法,http://192.168.100.1:50101/TVOD/5000000006000040012/FifastbLive/index.m3u8$4M540_百视通
CCTV13 新闻,http://192.168.100.1:50101/TVOD/5000000011000031108/FifastbLive/index.m3u8$6.8M1080_百视通
CCTV13 新闻,http://192.168.100.1:50101/TVOD/5000000005000001827/FifastbLive/index.m3u8$4M1080_百视通
CCTV13 新闻,http://192.168.100.1:50101/TVOD/1000000002000021303/FifastbLive/index.m3u8$4M1080_易视腾
CCTV14 少儿,http://192.168.100.1:50101/TVOD/5000000004000006673/FifastbLive/index.m3u8$8M1080_百视通
CCTV14 少儿,http://192.168.100.1:50101/TVOD/6000000001000013647/FifastbLive/index.m3u8$8M1080_华数
CCTV14 少儿,http://192.168.100.1:50101/TVOD/1000000001000008170/FifastbLive/index.m3u8$8M1080_易视腾
CCTV14 少儿,http://192.168.100.1:50101/TVOD/1000000005000265013/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV14 少儿,http://192.168.100.1:50101/TVOD/5000000010000023358/FifastbLive/index.m3u8$4M1080_百视通
CCTV14 少儿,http://192.168.100.1:50101/TVOD/1000000001000021349/FifastbLive/index.m3u8$4M1080_易视腾
CCTV15 音乐,http://192.168.100.1:50101/TVOD/5000000011000031109/FifastbLive/index.m3u8$6.8M1080_百视通
CCTV15 音乐,http://192.168.100.1:50101/TVOD/1000000005000265014/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV15 音乐,http://192.168.100.1:50101/TVOD/1000000002000008163/FifastbLive/index.m3u8$4M1080_易视腾
CCTV16 奥林匹克,http://192.168.100.1:50101/TVOD/1000000006000233002/FifastbLive/index.m3u8$8M1080_易视腾
CCTV16 奥林匹克,http://192.168.100.1:50101/TVOD/5000000008000023253/FifastbLive/index.m3u8$6.8M1080_百视通
CCTV16 奥林匹克,http://192.168.100.1:50101/TVOD/1000000006000233001/FifastbLive/index.m3u8$4M1080_易视腾
CCTV17 农业农村,http://192.168.100.1:50101/TVOD/1000000006000268004/FifastbLive/index.m3u8$8M1080_易视腾
CCTV17 农业农村,http://192.168.100.1:50101/TVOD/1000000005000265015/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
CCTV17 农业农村,http://192.168.100.1:50101/TVOD/1000000005000056836/FifastbLive/index.m3u8$4M1080_易视腾
卫视频道,#genre#
安徽卫视,http://192.168.100.1:50101/TVOD/6000000001000009954/FifastbLive/index.m3u8$8M1080_华数
安徽卫视,http://192.168.100.1:50101/TVOD/1000000001000030159/FifastbLive/index.m3u8$8M1080_易视腾
安徽卫视,http://192.168.100.1:50101/TVOD/5000000004000023002/FifastbLive/index.m3u8$7.5M1080_百视通
安徽卫视,http://192.168.100.1:50101/TVOD/1000000005000265025/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
安徽卫视,http://192.168.100.1:50101/TVOD/5000000001000027288/FifastbLive/index.m3u8$4M1080_百视通
安徽卫视,http://192.168.100.1:50101/TVOD/1000000001000020780/FifastbLive/index.m3u8$4M1080_易视腾
北京纪实科教,http://192.168.100.1:50101/TVOD/1000000001000001910/FifastbLive/index.m3u8$8M1080_易视腾
北京纪实科教,http://192.168.100.1:50101/TVOD/5000000011000031204/FifastbLive/index.m3u8$6.8M1080_百视通
北京纪实科教,http://192.168.100.1:50101/TVOD/2000000002000000065/FifastbLive/index.m3u8$6.8M1080_湖南bblive
北京纪实科教,http://192.168.100.1:50101/TVOD/1000000005000265020/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
北京纪实科教,http://192.168.100.1:50101/TVOD/2000000003000000026/FifastbLive/index.m3u8$4M1080_湖南bblive
北京纪实科教,http://192.168.100.1:50101/TVOD/1000000001000028380/FifastbLive/index.m3u8$4M1080_易视腾
北京卡酷少儿,http://192.168.100.1:50101/TVOD/7851974109718180595/FifastbLive/index.m3u8$6.8M1080_百视通
北京卡酷少儿,http://192.168.100.1:50101/TVOD/1000000002000002413/FifastbLive/index.m3u8$4M576_易视腾
北京卡酷少儿,http://192.168.100.1:50101/TVOD/6000000003000002709/FifastbLive/index.m3u8$1.8M576_华数
北京卫视,http://192.168.100.1:50101/TVOD/6000000001000020451/FifastbLive/index.m3u8$8M1080_华数
北京卫视,http://192.168.100.1:50101/TVOD/1000000001000021288/FifastbLive/index.m3u8$8M1080_易视腾
北京卫视,http://192.168.100.1:50101/TVOD/5000000004000031556/FifastbLive/index.m3u8$7.5M1080_百视通
北京卫视,http://192.168.100.1:50101/TVOD/1000000005000265027/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
北京卫视,http://192.168.100.1:50101/TVOD/5000000010000011502/FifastbLive/index.m3u8$4M1080_百视通
北京卫视,http://192.168.100.1:50101/TVOD/1000000001000017156/FifastbLive/index.m3u8$4M1080_易视腾
福建东南卫视,http://192.168.100.1:50101/TVOD/5000000004000010584/FifastbLive/index.m3u8$8M1080_百视通
